# Temps Uc Ur
0 0 5
1E-5 0.0523555400436909 4.94764445995631
2E-5 0.104162859572729 4.89583714042727
3E-5 0.155427699063335 4.84457230093666
4E-5 0.206155738882584 4.79384426111742
5E-5 0.256352599917814 4.74364740008219
6E-5 0.306023844199445 4.69397615580055
7E-5 0.355174975517274 4.64482502448273
8E-5 0.403811440030323 4.59618855996968
9E-5 0.451938626870292 4.54806137312971
0.0001 0.499561868738704 4.5004381312613
0.00011 0.546686442497785 4.45331355750222
0.00012 0.593317569755169 4.40668243024483
0.00013 0.639460417442471 4.36053958255753
0.00014 0.685120098387809 4.31487990161219
0.00015 0.730301671882324 4.26969832811768
0.00016 0.775010144240774 4.22498985575923
0.00017 0.819250469356251 4.18074953064375
0.00018 0.863027549249103 4.1369724507509
0.00019 0.906346234610091 4.09365376538991
0.0002 0.949211325337866 4.05078867466213
0.00021 0.991627571070827 4.00837242892917
0.00022 1.03359967171339 3.96640032828661
0.00023 1.07513227795678 3.92486772204322
0.00024 1.1162299917943 3.8837700082057
0.00025 1.15689736703132 3.84310263296868
0.00026 1.1971389097898 3.8028610902102
0.00027 1.23695907900762 3.76304092099238
0.00028 1.27636228693263 3.72363771306737
0.00029 1.31535289961157 3.68464710038843
0.0003 1.35393523737382 3.64606476262618
0.00031 1.39211357531014 3.60788642468986
0.00032 1.42989214374633 3.57010785625367
0.00033 1.467275128712 3.532724871288
0.00034 1.50426667240442 3.49573332759558
0.00035 1.54087087364741 3.45912912635259
0.00036 1.57709178834562 3.42290821165438
0.00037 1.61293342993385 3.38706657006615
0.00038 1.6483997698218 3.3516002301782
0.00039 1.68349473783411 3.31650526216589
0.0004 1.7182222226458 3.2817777773542
0.00041 1.75258607221315 3.24741392778685
0.00042 1.78659009420009 3.21340990579991
0.00043 1.82023805640007 3.17976194359993
0.00044 1.85353368715358 3.14646631284642
0.00045 1.88648067576125 3.11351932423875
0.00046 1.91908267289265 3.08091732710735
0.00047 1.95134329099078 3.04865670900922
0.00048 1.98326610467238 3.01673389532762
0.00049 2.01485465112398 2.98514534887602
0.0005 2.04611243049384 2.95388756950616
0.00051 2.07704290627981 2.92295709372019
0.00052 2.10764950571306 2.89235049428694
0.00053 2.13793562013787 2.86206437986213
0.00054 2.16790460538737 2.83209539461263
0.00055 2.1975597821554 2.8024402178446
0.00056 2.22690443636449 2.77309556363551
0.00057 2.25594181952987 2.74405818047013
0.00058 2.28467514911983 2.71532485088017
0.00059 2.31310760891221 2.68689239108779
0.0006 2.34124234934715 2.65875765065285
0.00061 2.36908248787619 2.63091751212381
0.00062 2.39663110930772 2.60336889069228
0.00063 2.42389126614875 2.57610873385125
0.00064 2.45086597894316 2.54913402105684
0.00065 2.47755823660639 2.52244176339361
0.00066 2.50397099675664 2.49602900324336
0.00067 2.53010718604254 2.46989281395746
0.00068 2.5559697004675 2.4440302995325
0.00069 2.58156140571053 2.41843859428947
0.0007 2.60688513744384 2.39311486255616
0.00071 2.63194370164698 2.36805629835302
0.00072 2.65673987491781 2.34326012508219
0.00073 2.68127640478011 2.31872359521989
0.00074 2.70555600998807 2.29444399001193
0.00075 2.72958138082749 2.27041861917251
0.00076 2.75335517941389 2.24664482058611
0.00077 2.77688003998752 2.22311996001248
0.00078 2.80015856920519 2.19984143079481
0.00079 2.82319334642914 2.17680665357086
0.0008 2.84598692401282 2.15401307598718
0.00081 2.86854182758372 2.13145817241628
0.00082 2.8908605563232 2.1091394436768
0.00083 2.91294558324343 2.08705441675657
0.00084 2.9347993554614 2.0652006445386
0.00085 2.95642429447008 2.04357570552992
0.00086 2.97782279640672 2.02217720359328
0.00087 2.99899723231835 2.00100276768165
0.00088 3.01994994842453 1.98005005157547
0.00089 3.04068326637728 1.95931673362272
0.0009 3.06119948351838 1.93880051648162
0.00091 3.08150087313385 1.91849912686615
0.00092 3.10158968470594 1.89841031529406
0.00093 3.12146814416228 1.87853185583772
0.00094 3.14113845412262 1.85886154587738
0.00095 3.16060279414279 1.83939720585721
0.00096 3.17986332095629 1.82013667904371
0.00097 3.19892216871322 1.80107783128678
0.00098 3.21778144921677 1.78221855078323
0.00099 3.2364432521572 1.7635567478428
0.001 3.2549096453434 1.7450903546566
0.00101 3.27318267493202 1.72681732506798
0.00102 3.29126436565416 1.70873563434584
0.00103 3.30915672103978 1.69084327896022
0.00104 3.32686172363962 1.67313827636038
0.00105 3.34438133524494 1.65561866475506
0.00106 3.36171749710488 1.63828250289512
0.00107 3.37887213014152 1.62112786985848
0.00108 3.39584713516278 1.60415286483722
0.00109 3.41264439307302 1.58735560692698
0.0011 3.42926576508143 1.57073423491857
0.00111 3.44571309290828 1.55428690709172
0.00112 3.46198819898901 1.53801180101099
0.00113 3.47809288667611 1.52190711332389
0.00114 3.49402894043899 1.50597105956101
0.00115 3.50979812606169 1.49020187393831
0.00116 3.52540219083852 1.47459780916148
0.00117 3.5408428637677 1.4591571362323
0.00118 3.55612185574291 1.44387814425709
0.00119 3.57124085974288 1.42875914025712
0.0012 3.58620155101898 1.41379844898102
0.00121 3.60100558728085 1.39899441271915
0.00122 3.61565460888005 1.38434539111995
0.00123 3.63015023899187 1.36984976100813
0.00124 3.64449408379513 1.35550591620487
0.00125 3.6586877326502 1.3413122673498
0.00126 3.67273275827506 1.32726724172494
0.00127 3.68663071691962 1.31336928308038
0.00128 3.70038314853812 1.29961685146188
0.00129 3.71399157695975 1.28600842304025
0.0013 3.72745751005755 1.27254248994245
0.00131 3.74078243991545 1.25921756008455
0.00132 3.75396784299359 1.24603215700641
